state,x,y
Andhra Pradesh,-74.0, -140.0
Arunachal Pradesh,196.0, 85.0
Assam,125.0, 47.0
Bihar,49.0, 38.0
Chhattisgarh,-16.0, -34.0
Goa,-132.0, -131.0
Gujarat,-178.0, -4.0
Haryana,-102.0, 102.0
Himachal Pradesh,-77.0, 145.0
Jammu And Kashmir,-83.0, 193.0
Jharkhand,39.0, 8.0
Karnataka,-118.0, -147.0
Kerala,-91.0, -217.0
Madhya Pradesh,-95.0, -6.0
Maharashtra,-126.0, -70.0
Manipur,180.0, 26.0
Meghalaya,112.0, 30.0
Mizoram,160.0, -6.0
Nagaland,188.0, 50.0
Odisha,9.0, -52.0
Punjab,-123.0, 132.0
Rajasthan,-166.0, 62.0
Sikkim,94.0, 74.0
Tamil Nadu,-80.0, -199.0
Telangana,-64.0, -94.0
Tripura,142.0, 5.0
Uttar Pradesh,-32.0, 61.0
Uttarakhand,-62.0, 125.0
West Bengal,70.0, 1.0